,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,GDP growth (annual %),2024,2.76383869054277,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,GDP growth (annual %),2023,1.9311603523693,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,GDP growth (annual %),2022,3.72271692296214,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,GDP growth (annual %),2021,4.57877206871177,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,GDP growth (annual %),2020,-2.81757208724623,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,GDP growth (annual %),2019,2.03007686221603,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,GDP growth (annual %),2018,2.70519413363353,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,GDP growth (annual %),2017,2.67752389715308,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,GDP growth (annual %),2016,2.13011703002091,Aggregates,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,GDP per capita (current US$),2024,1615.39635562849,Aggregates,Aggregates,Aggregates,,
10,ZH,Africa Eastern and Southern,GDP per capita (current US$),2023,1571.44918918981,Aggregates,Aggregates,Aggregates,,
11,ZH,Africa Eastern and Southern,GDP per capita (current US$),2022,1679.32762166466,Aggregates,Aggregates,Aggregates,,
12,ZH,Africa Eastern and Southern,GDP per capita (current US$),2021,1562.41617477738,Aggregates,Aggregates,Aggregates,,
13,ZH,Africa Eastern and Southern,GDP per capita (current US$),2020,1351.59166910879,Aggregates,Aggregates,Aggregates,,
14,ZH,Africa Eastern and Southern,GDP per capita (current US$),2019,1507.08559963484,Aggregates,Aggregates,Aggregates,,
15,ZH,Africa Eastern and Southern,GDP per capita (current US$),2018,1552.07372194919,Aggregates,Aggregates,Aggregates,,
16,ZH,Africa Eastern and Southern,GDP per capita (current US$),2017,1528.10422421284,Aggregates,Aggregates,Aggregates,,
17,ZH,Africa Eastern and Southern,GDP per capita (current US$),2016,1334.47050032928,Aggregates,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,GDP growth (annual %),2024,4.5856736208091,Aggregates,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,GDP growth (annual %),2023,3.66242752919044,Aggregates,Aggregates,Aggregates,,
20,ZI,Africa Western and Central,GDP growth (annual %),2022,4.47279468511532,Aggregates,Aggregates,Aggregates,,
21,ZI,Africa Western and Central,GDP growth (annual %),2021,2.54969083217036,Aggregates,Aggregates,Aggregates,,
22,ZI,Africa Western and Central,GDP growth (annual %),2020,-3.73062984236253,Aggregates,Aggregates,Aggregates,,
23,ZI,Africa Western and Central,GDP growth (annual %),2019,3.28168276850104,Aggregates,Aggregates,Aggregates,,
24,ZI,Africa Western and Central,GDP growth (annual %),2018,2.90466430784954,Aggregates,Aggregates,Aggregates,,
25,ZI,Africa Western and Central,GDP growth (annual %),2017,2.29634886599959,Aggregates,Aggregates,Aggregates,,
26,ZI,Africa Western and Central,GDP growth (annual %),2016,0.194316483405615,Aggregates,Aggregates,Aggregates,,
27,ZI,Africa Western and Central,GDP per capita (current US$),2024,1411.33702938476,Aggregates,Aggregates,Aggregates,,
28,ZI,Africa Western and Central,GDP per capita (current US$),2023,1841.85506354867,Aggregates,Aggregates,Aggregates,,
29,ZI,Africa Western and Central,GDP per capita (current US$),2022,2138.47315259913,Aggregates,Aggregates,Aggregates,,
30,ZI,Africa Western and Central,GDP per capita (current US$),2021,2112.79407637079,Aggregates,Aggregates,Aggregates,,
31,ZI,Africa Western and Central,GDP per capita (current US$),2020,2030.86165860293,Aggregates,Aggregates,Aggregates,,
32,ZI,Africa Western and Central,GDP per capita (current US$),2019,2216.38505520833,Aggregates,Aggregates,Aggregates,,
33,ZI,Africa Western and Central,GDP per capita (current US$),2018,1720.14009242722,Aggregates,Aggregates,Aggregates,,
34,ZI,Africa Western and Central,GDP per capita (current US$),2017,1574.23056437855,Aggregates,Aggregates,Aggregates,,
35,ZI,Africa Western and Central,GDP per capita (current US$),2016,1630.03943895258,Aggregates,Aggregates,Aggregates,,
36,1A,Arab World,GDP growth (annual %),2024,1.70353102787844,Aggregates,Aggregates,Aggregates,,
37,1A,Arab World,GDP growth (annual %),2023,1.63495022269882,Aggregates,Aggregates,Aggregates,,
38,1A,Arab World,GDP growth (annual %),2022,7.00775934349392,Aggregates,Aggregates,Aggregates,,
39,1A,Arab World,GDP growth (annual %),2021,4.43160883511413,Aggregates,Aggregates,Aggregates,,
40,1A,Arab World,GDP growth (annual %),2020,-5.30102786914752,Aggregates,Aggregates,Aggregates,,
41,1A,Arab World,GDP growth (annual %),2019,1.74778112240244,Aggregates,Aggregates,Aggregates,,
42,1A,Arab World,GDP growth (annual %),2018,2.67255324455269,Aggregates,Aggregates,Aggregates,,
43,1A,Arab World,GDP growth (annual %),2017,1.32901000226768,Aggregates,Aggregates,Aggregates,,
44,1A,Arab World,GDP growth (annual %),2016,3.57286827951262,Aggregates,Aggregates,Aggregates,,
