,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,Gini index,2024,,Aggregates,Aggregates,Aggregates,,
10,ZH,Africa Eastern and Southern,Gini index,2023,,Aggregates,Aggregates,Aggregates,,
11,ZH,Africa Eastern and Southern,Gini index,2022,,Aggregates,Aggregates,Aggregates,,
12,ZH,Africa Eastern and Southern,Gini index,2021,,Aggregates,Aggregates,Aggregates,,
13,ZH,Africa Eastern and Southern,Gini index,2020,,Aggregates,Aggregates,Aggregates,,
14,ZH,Africa Eastern and Southern,Gini index,2019,,Aggregates,Aggregates,Aggregates,,
15,ZH,Africa Eastern and Southern,Gini index,2018,,Aggregates,Aggregates,Aggregates,,
16,ZH,Africa Eastern and Southern,Gini index,2017,,Aggregates,Aggregates,Aggregates,,
17,ZH,Africa Eastern and Southern,Gini index,2016,,Aggregates,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
20,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
