,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2024,28.8,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2023,27.8,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2022,26.8,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2021,25.0,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2020,23.5,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2019,21.6,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2018,19.6,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2017,17.3,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2016,16.3,Aggregates,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2024,87.3,Aggregates,Aggregates,Aggregates,,
10,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2023,82.3,Aggregates,Aggregates,Aggregates,,
11,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2022,77.7,Aggregates,Aggregates,Aggregates,,
12,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2021,74.7,Aggregates,Aggregates,Aggregates,,
13,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2020,69.9,Aggregates,Aggregates,Aggregates,,
14,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2019,67.9,Aggregates,Aggregates,Aggregates,,
15,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2018,65.2,Aggregates,Aggregates,Aggregates,,
16,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2017,63.5,Aggregates,Aggregates,Aggregates,,
17,ZH,Africa Eastern and Southern,Mobile cellular subscriptions (per 100 people),2016,63.6,Aggregates,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,Individuals using the Internet (% of population),2024,40.0,Aggregates,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,Individuals using the Internet (% of population),2023,38.5,Aggregates,Aggregates,Aggregates,,
20,ZI,Africa Western and Central,Individuals using the Internet (% of population),2022,37.5,Aggregates,Aggregates,Aggregates,,
21,ZI,Africa Western and Central,Individuals using the Internet (% of population),2021,34.7,Aggregates,Aggregates,Aggregates,,
22,ZI,Africa Western and Central,Individuals using the Internet (% of population),2020,31.5,Aggregates,Aggregates,Aggregates,,
23,ZI,Africa Western and Central,Individuals using the Internet (% of population),2019,28.5,Aggregates,Aggregates,Aggregates,,
24,ZI,Africa Western and Central,Individuals using the Internet (% of population),2018,25.7,Aggregates,Aggregates,Aggregates,,
25,ZI,Africa Western and Central,Individuals using the Internet (% of population),2017,23.8,Aggregates,Aggregates,Aggregates,,
26,ZI,Africa Western and Central,Individuals using the Internet (% of population),2016,20.9,Aggregates,Aggregates,Aggregates,,
27,ZI,Africa Western and Central,Mobile cellular subscriptions (per 100 people),2024,91.8,Aggregates,Aggregates,Aggregates,,
28,ZI,Africa Western and Central,Mobile cellular subscriptions (per 100 people),2023,101.4,Aggregates,Aggregates,Aggregates,,
