,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2024,319825435256.189,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,308446174490.985,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,333484637191.804,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,288027736159.846,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,209516974576.598,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,245595833663.934,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,258813628122.367,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,232936713385.777,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,197130248081.966,Aggregates,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2024,353911296000.791,Aggregates,Aggregates,Aggregates,,
10,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2023,346591524551.15,Aggregates,Aggregates,Aggregates,,
11,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2022,363758667656.584,Aggregates,Aggregates,Aggregates,,
12,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2021,293472370079.719,Aggregates,Aggregates,Aggregates,,
13,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2020,229922202921.687,Aggregates,Aggregates,Aggregates,,
14,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2019,279922661411.389,Aggregates,Aggregates,Aggregates,,
15,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2018,291010920854.981,Aggregates,Aggregates,Aggregates,,
16,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2017,268310010002.039,Aggregates,Aggregates,Aggregates,,
17,ZH,Africa Eastern and Southern,Imports of goods and services (current US$),2016,238740759005.449,Aggregates,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
20,ZI,Africa Western and Central,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
21,ZI,Africa Western and Central,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
22,ZI,Africa Western and Central,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
23,ZI,Africa Western and Central,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
24,ZI,Africa Western and Central,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
25,ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
26,ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
27,ZI,Africa Western and Central,Imports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
28,ZI,Africa Western and Central,Imports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
29,ZI,Africa Western and Central,Imports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
30,ZI,Africa Western and Central,Imports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
31,ZI,Africa Western and Central,Imports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
32,ZI,Africa Western and Central,Imports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
33,ZI,Africa Western and Central,Imports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
34,ZI,Africa Western and Central,Imports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
35,ZI,Africa Western and Central,Imports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
36,1A,Arab World,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
37,1A,Arab World,Exports of goods and services (current US$),2023,1695255372658.71,Aggregates,Aggregates,Aggregates,,
38,1A,Arab World,Exports of goods and services (current US$),2022,1792850543608.38,Aggregates,Aggregates,Aggregates,,
39,1A,Arab World,Exports of goods and services (current US$),2021,1280418222799.26,Aggregates,Aggregates,Aggregates,,
40,1A,Arab World,Exports of goods and services (current US$),2020,931628564702.073,Aggregates,Aggregates,Aggregates,,
41,1A,Arab World,Exports of goods and services (current US$),2019,1250081044909.76,Aggregates,Aggregates,Aggregates,,
